DateTime;BTC;ETH;Stablecoins;Others
08.01.2018;276611608104,47;112163952377,39;1985339385,86;437776472804,28
15.01.2018;231334152097,26;132403559879,69;2036739774,30;339227298776,75
22.01.2018;195644593331,38;102504306999,22;2113474205,63;262967116663,77
29.01.2018;197870939553,96;121268517361,52;2849400920,88;273287540755,64
05.02.2018;139324739797,27;81337361557,77;2959326600,48;171549216012,49
12.02.2018;137257820779,83;79754362747,93;2746524548,24;180387429012,00
19.02.2018;178054980195,27;90047658701,18;2944222548,38;210277670267,17
26.02.2018;163283423922,61;82705436832,36;3096651438,85;181258597886,18
05.03.2018;194902607290,46;84939661551,27;3260117239,76;187405330526,51
12.03.2018;162420640875,15;71086019104,64;2992455672,53;152333574523,69
19.03.2018;141240445134,70;53718639282,88;2927543594,03;120516751188,39
26.03.2018;143959778305,66;51598034694,19;2998820442,32;130396042909,82
02.04.2018;116037478554,69;37422484308,52;2792491551,97;98853093872,82
09.04.2018;119515767465,18;39565055112,98;2774814610,87;104590539066,97
16.04.2018;141570843067,24;52592174760,81;2857518967,34;139810123812,61
23.04.2018;149448445462,36;61490570912,00;2922575025,68;173807572631,96
30.04.2018;160301863162,79;68376399334,00;3061002853,35;207161454265,86
07.05.2018;164161152517,82;78758746705,54;2809192877,28;209889762811,36
14.05.2018;148403158529,50;72847449068,62;2716914220,08;183095350245,81
21.05.2018;145264317032,14;71405766698,67;2980814184,76;171226384388,43
28.05.2018;125747647841,54;57136672102,32;2885099782,08;140503063602,06
11.06.2018;116175107759,55;52483739955,35;2871544993,25;125252365179,86
18.06.2018;111319477310,88;50008238006,35;2889816893,66;114105274573,11
25.06.2018;105625012130,90;45723097398,69;2915252869,47;97363272864,94
02.07.2018;109272855080,06;45576422047,08;3031329375,20;99354042585,66
09.07.2018;116117589327,98;49166922645,99;2960841454,51;106468500523,52
16.07.2018;109029468624,84;45364323982,82;3017394469,15;97929766523,19
23.07.2018;127271731778,52;46338042271,24;2982285083,24;103881475331,00
30.07.2018;141239444979,08;47150243496,36;2809356928,06;106666432740,50
06.08.2018;121430864536,56;41526865934,36;2710015779,94;91017931995,69
13.08.2018;109111523954,15;32433585929,31;2630582266,71;69502763365,27
20.08.2018;111936076637,53;30569460456,76;2943049378,94;71532866418,81
27.08.2018;115646248486,60;27968567432,73;3030645093,44;69091955311,44
03.09.2018;125536575444,65;30025069121,49;3061679812,04;79343882397,06
10.09.2018;108759350260,05;20153125180,17;2960359930,24;63535970248,61
17.09.2018;112508446994,56;22602064198,91;2968615418,39;65156571439,58
24.09.2018;115889159338,48;25009868629,03;3036039654,25;82139867016,93
01.10.2018;114509724599,93;23855852478,45;3035637219,00;81877343154,18
08.10.2018;114251052224,28;23201746333,45;3052887316,63;77994801035,91
15.10.2018;109002222118,36;20029798681,64;2786507503,54;68174276802,58
22.10.2018;112433242750,57;21074931430,86;2427530033,53;73554627690,72
29.10.2018;112621848701,95;21104132738,45;2455134992,35;73744008911,04
05.11.2018;110472052802,84;21331687092,18;2326960529,98;75969941702,58
12.11.2018;111382004120,59;21816330887,76;2249766997,75;77493979886,93
19.11.2018;97705691527,54;18300028878,28;2326136338,85;67606280789,79
26.11.2018;69838014415,54;12032856392,69;2416581981,00;45123936688,07
03.12.2018;72180072607,19;12052720214,16;2522711880,12;47781278084,17
10.12.2018;62904058877,80;9850870958,68;2632059333,51;39223955233,75
17.12.2018;56690385176,66;8866029607,24;2615285310,82;35043460985,73
24.12.2018;69764786196,18;13583037878,26;2671880912,25;48364439355,50
31.12.2018;67490984256,38;14577932771,75;2688487412,81;45903625488,66
07.01.2019;71240898021,15;16449025838,97;2744489481,36;47817270078,15
14.01.2019;62182641664,50;12207772317,62;2852680726,43;40132165387,86
21.01.2019;62978933273,58;12500023524,22;2912777019,99;41685655122,57
28.01.2019;62742832206,19;11849114115,28;2904433539,92;41220247357,60
04.02.2019;60737875450,65;11268811996,77;2836601529,48;38906302287,60
11.02.2019;64789130003,54;13087699616,69;2798536464,74;42497660714,36
18.02.2019;64410100221,86;13955286294,17;2772396286,95;42206106017,82
25.02.2019;66837352912,05;14226818125,58;2769938249,71;43575568357,08
04.03.2019;67555759359,98;13891057136,32;2759693885,72;45341054290,21
11.03.2019;69512928001,42;14394417058,43;2735676511,11;48210767175,78
18.03.2019;70905328395,31;14750183272,51;2751729812,44;51297289025,83
25.03.2019;70857280284,76;14444946298,66;2772337894,84;52192692508,75
01.04.2019;72295816657,95;14912681758,60;2756655865,71;54361604522,37
08.04.2019;91675454746,92;18403550027,18;2842940058,76;68873261340,38
15.04.2019;91278581802,47;17760447034,08;3172285430,22;64018115451,12
22.04.2019;93805881812,86;17969745873,24;3342528133,61;62878958980,83
29.04.2019;93419609963,27;16651220247,79;3658811607,92;57382312824,85
06.05.2019;102335650652,96;17288766538,89;3669225511,41;60049824784,81
13.05.2019;123136038254,63;19853654643,77;3694236482,77;62714561138,77
20.05.2019;144971309448,99;27596920216,75;3827268826,06;78215393536,71
27.05.2019;153970325335,24;28432641772,48;4033018536,77;81701619357,74
03.06.2019;155065390731,39;28726097128,87;4047103709,13;88905378432,32
10.06.2019;136273768278,70;24723131896,46;4168409687,39;78940648358,11
17.06.2019;160044972093,61;28705808640,02;4401364412,58;88418686716,02
24.06.2019;192777835456,14;32829464800,28;4410430910,76;96240622346,95
01.07.2019;192209366982,18;31012429349,50;4446209456,03;85064040430,78
08.07.2019;204079737655,09;32705645342,39;4592445054,25;87184490080,54
15.07.2019;182640350268,56;24354539328,68;4806315991,41;67016696320,35
22.07.2019;189190665656,14;24190172863,41;4925635509,30;71937244035,56
29.07.2019;170499961955,60;22645395578,31;4968991558,27;66715116779,54
05.08.2019;195858816740,96;23873527369,57;5144777959,89;68066091124,52
12.08.2019;205806749299,24;23139024635,55;5101282977,98;65963992834,08
19.08.2019;184993881159,79;20894351694,93;5106740499,01;59704987356,77
26.08.2019;181332659914,10;20086200164,89;5104619857,91;57540563597,99
02.09.2019;174725137037,36;18506970192,98;5100489677,57;53678906254,45
09.09.2019;187110557493,34;19523183052,33;5249736338,22;55807805700,45
16.09.2019;185578448439,98;20473460441,40;5266506252,16;55088474627,70
23.09.2019;180777994058,38;22831284617,63;5196065666,50;56634675086,26
30.09.2019;145513115036,49;18430749550,83;5230217648,17;45363167951,54
07.10.2019;143472448846,87;18670853900,53;5312966348,05;46925289846,50
14.10.2019;149554484620,90;19657318282,82;5288597805,80;49699883819,54
21.10.2019;148173746075,08;18993688511,09;5280041052,41;50284672496,73
28.10.2019;172499579503,22;19974475606,54;5288774609,41;54765389851,65
04.11.2019;166462316878,71;19776848050,53;5259194234,90;55574352039,38
11.11.2019;163364748174,13;20575448878,44;5230717231,19;56991175473,15
18.11.2019;154842353565,79;20115453046,49;5235977078,79;54998968778,78
25.11.2019;127004736593,39;15555499462,51;5234573650,98;43860874356,38
02.12.2019;134282440140,98;16445303072,41;5253258112,05;46154938337,08
09.12.2019;136826716822,88;16477448862,55;5302572998,19;46523052606,76
16.12.2019;129661328968,67;15593818240,83;5395063521,85;44464113929,09
23.12.2019;136460710737,63;14416402305,27;5297618628,81;42055530133,52
30.12.2019;134468662789,64;14684041488,58;5283654800,39;42491987677,03
06.01.2020;134460377957,17;14872554640,10;5324552681,60;43122297760,03
13.01.2020;148623400473,73;16037333171,52;5745283287,09;48439894834,53
20.01.2020;158321623201,45;18263491100,01;5671507528,30;56629092994,26
27.01.2020;156499290530,47;18402322183,45;5780174661,78;57073970129,61
03.02.2020;170004469220,08;20621480918,28;5818965145,33;63198539219,14
10.02.2020;184486166163,19;25088078485,43;5822621931,49;74570537514,18
17.02.2020;180891431634,32;28471676189,75;5816435999,47;72853049856,38
24.02.2020;180863880750,30;30047602662,17;5850955350,07;72260129109,89
02.03.2020;156084173198,83;23932587490,26;5838918478,33;57703973142,14
09.03.2020;147951754406,55;22522073578,36;5859765663,43;54811965206,74
16.03.2020;97469192840,34;13704246819,60;6012382240,13;35713649829,85
23.03.2020;105780190268,63;13506190365,91;6112350397,25;37955600036,70
30.03.2020;108203437915,23;13832864228,55;6137030948,12;39821042712,42
06.04.2020;124178004966,37;15852539294,78;7727515482,78;42795775534,22
13.04.2020;127349493899,92;17693675903,07;7980347544,80;45497744488,04
20.04.2020;131681877228,60;19996673015,77;8035780427,34;47162317479,79
27.04.2020;141322115947,34;21880363407,06;7980205850,53;50428100637,04
04.05.2020;163655471479,58;23375998238,38;8118719306,76;53797781029,29
11.05.2020;161002863406,78;20917349494,34;8080082423,67;49905203441,96
18.05.2020;178061835629,24;22983067946,23;10451690870,62;61276866794,40
25.05.2020;161099222524,01;22288835760,22;10455660844,26;51463743956,96
01.06.2020;173950651647,76;25642611324,02;10483119400,19;55803360631,09
08.06.2020;179763960699,07;27308254795,90;10908076482,32;59399784916,72
15.06.2020;172718935758,74;26013014519,81;10928081620,60;56375863448,00
22.06.2020;171164992440,78;25515154217,57;10886847733,85;56796310721,92
29.06.2020;168110009823,14;25131103750,54;11081098964,48;54717872348,40
06.07.2020;167093607091,68;25426214410,99;11225877543,12;56560823606,87
13.07.2020;171301164845,18;27108242837,99;11303734397,29;64877185460,23
20.07.2020;169693622626,09;26760971548,66;11457771290,47;65750837876,93
27.07.2020;182723132542,22;34725714216,26;12436469331,18;69966995632,71
03.08.2020;203682874498,53;41508331002,41;12446425220,59;76244424998,40
10.08.2020;215677731899,92;43908080747,57;12561524027,56;85150368315,73
17.08.2020;219791862272,76;48791927824,76;12720932152,99;95230373243,68
24.08.2020;215332195088,37;43890316480,77;13040692983,25;91256356651,45
31.08.2020;216333519498,11;48211664393,55;13127342122,34;96088278681,96
07.09.2020;189960683045,27;39794578364,47;17516886340,12;83224641409,18
14.09.2020;190982313860,37;41146100471,01;18611929233,52;86266472951,53
21.09.2020;202246809733,19;41729572794,70;19930564962,68;83126270227,80
28.09.2020;199423455711,23;40378371635,20;20413253870,65;84036751523,66
05.10.2020;197611846878,20;39805525512,91;20807880686,23;81309222348,24
12.10.2020;210888960518,65;42326523075,12;21200018550,62;86284181394,57
19.10.2020;212945049781,73;42794912025,29;21285061401,77;84101848721,91
26.10.2020;241308512141,25;45917606087,37;23276637062,91;84518020317,07
02.11.2020;255305349076,22;45039871161,49;23832109302,63;77647177632,86
09.11.2020;287283652683,20;51507421225,88;24623474264,38;82832324321,04
16.11.2020;295393474293,09;50682338162,77;25379650155,58;84185299731,32
23.11.2020;341281755223,37;63865456387,67;26417925509,14;103143620138,75
30.11.2020;338101650909,59;65884676074,49;27128997535,22;113473995831,78
07.12.2020;360337440869,67;68554455903,47;27986851356,08;116960007624,13
14.12.2020;355209238998,17;67031104551,90;28121780062,15;111941536023,48
21.12.2020;433927056339,38;72441157128,62;29391766652,86;126496566113,23
28.12.2020;487258425258,87;78016259865,90;30230121804,78;108680879485,06
04.01.2021;611103883061,60;112493433179,80;32900565272,61;120092041378,11
11.01.2021;708195321595,27;142632073651,42;37325733497,47;159552723169,28
18.01.2021;667028668819,70;141283103998,30;37357700408,41;161382405699,76
25.01.2021;601651669364,07;159139478909,25;38301007567,33;164797437303,63
01.02.2021;613312434887,77;149156035510,43;40846383815,17;186961032893,36
08.02.2021;722518516768,90;183497935265,74;44880747797,83;233672545979,32
15.02.2021;907623519352,77;206928063460,64;51894605052,68;323087103814,91
22.02.2021;1072121083578,46;221808321709,56;56254449174,41;393927866478,19
01.03.2021;843800279724,60;163489570919,60;56866992812,83;316532188238,11
08.03.2021;955342689135,77;199972340504,46;60294808405,70;369586734645,74
15.03.2021;1100069293585,06;212242684423,98;64315982795,36;413164495694,74
22.03.2021;1071526929279,67;205702383099,65;68236515743,24;436181499407,17
29.03.2021;1044604471378,81;194895798816,51;70538853352,67;448071595182,49
05.04.2021;1098874556066,75;241846812908,46;74284236728,31;533996972855,13
12.04.2021;1128437856221,56;249637481541,46;77984752415,23;616601784748,42
19.04.2021;1046814448218,09;257526324612,25;82414165704,35;662749404270,26
26.04.2021;915066200404,24;267279574504,04;84949938591,75;557461911147,62
03.05.2021;1058309059403,19;341740827528,03;92442784505,67;721274297637,61
10.05.2021;1090209426707,61;453427650572,17;99287674368,24;813593415256,50
17.05.2021;867104686926,26;412876797052,20;103311030212,34;785875565281,79
24.05.2021;660305590363,35;248898637925,35;95356092173,56;413934949738,79
31.05.2021;664797433647,30;276056372661,85;105835186387,53;497036897687,48
07.06.2021;671105857297,80;316220075240,05;108893281456,80;540713348400,20
14.06.2021;733089662951,49;292848691046,02;107334366478,94;496377976063,49
21.06.2021;668773312881,04;262694218907,70;107462522927,08;453237253681,37
28.06.2021;651673221700,15;231335391482,25;109575706090,53;389029533844,90
05.07.2021;654875820839,37;269388313131,79;110193066740,83;432482683575,63
