DateTime;BTC;ETH;USDT;BNB;SOL;Others
30.08.2015;3345732049,67;86145906,39;451600,00;0,00;0,00;555610539,94
06.09.2015;3424428150,86;97625195,45;451600,00;0,00;0,00;566415117,68
13.09.2015;3435997782,16;76193716,66;451600,00;0,00;0,00;568396773,19
20.09.2015;3385770805,62;64600034,35;451600,00;0,00;0,00;550597592,02
27.09.2015;3431856750,10;58149531,52;451600,00;0,00;0,00;520772070,38
04.10.2015;3502459356,17;50555947,04;451600,00;0,00;0,00;491513064,80
11.10.2015;3599835148,98;46327504,64;451600,00;0,00;0,00;478005778,38
18.10.2015;3991622474,97;40550433,25;451600,00;0,00;0,00;476325507,78
25.10.2015;4154105118,41;41781371,00;451600,00;0,00;0,00;454501974,60
01.11.2015;4657899149,65;68477207,23;451600,00;0,00;0,00;505971787,11
08.11.2015;5692387997,95;68254322,67;451600,00;0,00;0,00;498885855,38
15.11.2015;4942412592,61;66590205,76;451600,00;0,00;0,00;445075649,63
22.11.2015;4861341321,40;73378875,25;451600,00;0,00;0,00;437297963,35
29.11.2015;5324603226,49;68625059,25;451600,00;0,00;0,00;460810226,26
06.12.2015;5813290200,20;65194898,36;951600,00;0,00;0,00;507303525,44
13.12.2015;6454429948,21;73276328,72;951600,00;0,00;0,00;628642347,08
20.12.2015;6925021736,92;68663123,23;951600,00;0,00;0,00;561783635,84
27.12.2015;6251439746,04;64650004,39;951600,00;0,00;0,00;535038777,57
03.01.2016;6519493346,66;71275843,47;951600,00;0,00;0,00;548249257,87
10.01.2016;6752207450,65;75031161,86;1451600,00;0,00;0,00;555609819,50
17.01.2016;5842269904,62;93207495,47;1452172,78;0,00;0,00;510330587,13
24.01.2016;5867294005,16;145357921,23;1451776,68;0,00;0,00;527976296,93
31.01.2016;5729876279,75;187288793,44;1451600,00;0,00;0,00;609143198,82
07.02.2016;5714757845,42;194883946,32;1451600,00;0,00;0,00;666956656,26
14.02.2016;5975579008,35;416193451,47;1451600,00;0,00;0,00;712965764,18
21.02.2016;6669256895,23;336572452,31;1451600,00;0,00;0,00;740598988,47
28.02.2016;6600315176,77;495545000,95;1451600,00;0,00;0,00;738218462,28
06.03.2016;6121408382,11;868737165,64;1451599,83;0,00;0,00;731973028,42
13.03.2016;6302326831,97;1049934286,90;1451449,19;0,00;0,00;842667591,93
20.03.2016;6293608466,29;822294753,30;1451593,58;0,00;0,00;796255426,84
27.03.2016;6423042999,31;862207437,56;1451591,00;0,00;0,00;842207796,13
03.04.2016;6480475540,11;915178309,29;1451591,00;0,00;0,00;814574815,60
10.04.2016;6467328064,05;722132721,72;1451591,00;0,00;0,00;755897479,22
17.04.2016;6649170351,50;682467508,29;1451591,00;0,00;0,00;752260437,21
24.04.2016;6968576354,24;658203215,05;1451591,00;0,00;0,00;800118791,72
01.05.2016;6940220694,68;699881220,75;1951591,00;0,00;0,00;778426493,57
08.05.2016;7114057186,38;748029355,20;1951591,00;0,00;0,00;791002379,42
15.05.2016;7084755186,85;819397650,28;1958462,95;0,00;0,00;780488891,92
22.05.2016;6900706986,16;1126810311,22;1951591,00;0,00;0,00;789351207,61
29.05.2016;8226502854,43;974781807,24;1951591,00;0,00;0,00;839263843,33
05.06.2016;8955049694,41;1110685556,89;2951591,00;0,00;0,00;1030312965,69
12.06.2016;9539851633,45;1148076033,93;2951591,00;0,00;0,00;1067420901,63
19.06.2016;11859832811,25;906288322,02;5951586,03;0,00;0,00;1100627696,70
26.06.2016;10454854635,79;1160585678,51;5951641,37;0,00;0,00;1099908524,33
03.07.2016;11086081265,44;989130563,24;5951591,00;0,00;0,00;1185736548,31
